Zn,Cu,Cd,Cano texa,Chry cand,Dior hier,Dior jung,Grap cinc,Grap-line,Grap sten,Herp flav,Herp gran,Herp phil,Hete diad,Hete firm,Hete spec,Hype adgp,Hype-isid,Hype mino,Hypo cirr,Leca achr,Leca chla,Lepr sp.,Lepr cori,Lept burn,Lept wils,Parm prae,Parm reti,Parm tinc,Phae hisp,Phae pyrr,Phyl cora,Phys abus,Phys aipo,Phys cris,Phys dubi,Phys inte,Phys sore,Poly subm,Pyre astr,Pyre subm,Pyxi reti,Pyxi subc,Remo awas,Remo flex
105,66.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,3,0,6.7,0,0,0,0,0,0,0
86.46,20.2,0.58,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.25,2.7,0,0,0.25,0,0,0,0,0,0,0,0,4.25,0,0,4.35,0,0,0,0,0,0,0
66.42,12.29,0.52,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.85,0,0,0,0,2.25,0,0
63.42,13.1,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,2.05,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0
64.44,13.17,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0
85.3,20.12,1.01,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,6.7,0,0,0,0,0,0,0,3.55,0,0,0,0,1.6,0,0
62.24,14.79,0.61,0,0.45,0,0,0,0,0,0,0,0,0,0,0,2.2,0,2.7,0,0,0,4.25,0,0,0,0.3,0,0,3.4,0,0,0,0,0,0,0,2.65,0,0,0,0.15,0,0,0
79.26,16.46,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0
57.66,44.36,1.17,1.45,4.1,0,0,0,0,0,0,0,0,0,0,0,7.15,0,0,0,0,0,4.65,0,0,0,0.6,0,0.3,0,0,0,0,0,0,1.5,0,9.65,0,0,0,0,0,0,0
61.17,14.84,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0
39.98,7.67,0.4,0.95,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,1.7,0,0,0,6.5,0,0,1.35,0,0,0,0,0,0,0,0,4.9,0,0,2.25,0,0,0,0,0,0,0
40.9,8.14,0.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0.9,0,0.65,1.25,0,0,0,0.4,0,0,0,11.25,0,0,0,0,0,0,0
27.04,7.98,0.38,1,0.75,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,2.6,0,0,0,0,0,6.05,0,3.15,0,0,0,0,0,0,0
37.43,7.48,0.36,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,5.15,0,0,0,0,0,0.25,1.95,0,0,0,0,0,0.5,0,16.25,13,0,0,0,0,0,0
38.45,6.85,0.4,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0.25,0,0,6.75,0,0,0,0,0,1.1,0,4.95,0,0,0,0.4,0,0,0
26.48,7.96,0.35,3.9,0,0,1,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,1.3,0.5,0
28.18,7.99,0.35,0.4,2.4,0,0,0.5,0.6,0,0,1.4,10.9,0,0,0,0,0.45,1.45,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,1.35,0,1.35,0,1.6,0,0,0,0.65,0,0,0
15.55,4.53,0.32,0,0,0,10.8,0,0,0.55,6.5,0,0,2.15,1.85,2.35,0,0,0,0.35,6.05,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0.3,0,0,0,1.6,0,0,0,0.25
14.73,4.77,0.26,0,0,2.35,0,0.25,0,0,0,0,0,0.2,0,0,0,0,1,0,1.1,0,0,0,0,0,0,4,0.4,1.9,0.5,0,0,0,0,0.25,5,2.25,0,0,0,0,1,0,0
16.19,4.93,0.28,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,1.6,0,0.25,0,0,0,1.1,0,0,3.65,0.85,0,0,0.8,0,0.65,0,1.2,0,0,0,0.65,0
